Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119521,142232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-Series & 4-Series
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,46069.0,35763.0,39634.0,31379.0,18621.0,12357.0,22938.0,4-Series
BMW,52722.0,56756.0,54142.0,45915.0,40109.0,39488.0,51491.0,56798.0,56863,52704.0,44162.0,32408.0,40658.0,43937.0,38709.0,25515.0,24523.0,5-Series
BMW,9934.0,9326.0,9033.0,6533.0,3549.0,2418.0,3903.0,8208.0,9762,8647.0,8146.0,3947.0,3355.0,3762.0,1139.0,1960.0,56.0,6-Series
BMW,18165.0,17796.0,14773.0,12276.0,9254.0,12253.0,11299.0,11098.0,10932,9744.0,9292.0,12918.0,9276.0,8271.0,8823.0,5985.0,7705.0,7-Series
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,223.0,4410.0,7714.0,7763.0,8-Series
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6092.0,11024.0,7625.0,6276.0,6120.0,4853.0,1502.0,1476.0,i3
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,555.0,2265.0,1594.0,488.0,772.0,1102.0,192.0,21.0,i8
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,26512,22808.0,14420.0,27812.0,30826.0,29057.0,17815.0,14368.0,18255.0,X1
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16154.0,11293.0,7368.0,6563.0,X2
BMW,30769.0,31291.0,28058.0,17622.0,6067.0,6075.0,27793.0,35173.0,30623,33824.0,31924.0,44196.0,40691.0,61351.0,70110.0,59777.0,75858.0,X3
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2709.0,6429.0,4989.0,5198.0,4323.0,8758.0,7662.0,10622.0,X4
BMW,37598.0,26798.0,35202.0,31858.0,27071.0,35776.0,40547.0,44445.0,39818,47031.0,54997.0,47641.0,50815.0,45013.0,54595.0,50513.0,60724.0,X5
BMW,0.0,0.0,0.0,4548.0,4787.0,6257.0,6192.0,6749.0,5549,3896.0,7906.0,7117.0,6780.0,6862.0,4240.0,7291.0,9590.0,X6
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21574.0,23230.0,23046.0,X7
BMW,10045.0,12285.0,10097.0,5879.0,3523.0,3804.0,3479.0,2751.0,2480,2151.0,1829.0,1187.0,502.0,4.0,2941.0,2364.0,2412.0,Z4
