BODY_TYP,ST_CASE,BODY_TYPNAME,Model_ID,Make_ID,Model_Name,Case_Year,Make_Name,car_year
31,10226,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
31,10227,,481.0,12.0,F-Series,2010.0,Ford,1994.0
4,10228,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
4,10229,,20.0,21.0,Cutlass (FWD),2010.0,Oldsmobile,1994.0
1,10230,,39.0,34.0,Z3,2010.0,BMW,1994.0
30,10231,,471.0,49.0,Pickup,2010.0,Toyota,1994.0
31,10232,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
20,10233,,441.0,6.0,Town and Country,2010.0,Chrysler,2010.0
4,10234,,20.0,20.0,Lumina,2010.0,Chevrolet,1994.0
4,10235,,40.0,49.0,Camry,2010.0,Toyota,1994.0
2,10236,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
4,10237,,6.0,14.0,Grand Marquis,2010.0,Mercury,1994.0
14,10238,,498.0,14.0,Other (light truck),2010.0,Mercury,1994.0
4,10239,,47.0,35.0,Altima,2010.0,Nissan/Datsun,1994.0
4,10240,,398.0,13.0,Other (automobile),2010.0,Lincoln,1994.0
4,10242,,31.0,63.0,Sephia,2010.0,KIA,2001.0
20,10243,,443.0,14.0,Villager,2010.0,Mercury,1994.0
2,10245,,3.0,12.0,Mustang,2010.0,Ford,1994.0
4,10246,,39.0,51.0,740,2010.0,Volvo,1994.0
80,10247,,705.0,76.0,450-749cc,2010.0,Yamaha,1994.0
4,10248,,33.0,63.0,Spectra,2010.0,KIA,2001.0
2,10249,,13.0,12.0,Escort/EXP/ZX2,2010.0,Ford,1994.0
80,10250,,706.0,53.0,750cc-over,2010.0,Suzuki,1994.0
4,10251,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
4,10252,,2.0,18.0,LeSabre,2010.0,Buick / Opel,2010.0
30,10253,,471.0,49.0,Pickup,2010.0,Toyota,1994.0
31,10254,,482.0,7.0,Ram,2010.0,Dodge,1994.0
2,10255,,32.0,37.0,Accord,2010.0,Honda,2010.0
4,10255,,16.0,20.0,Cavalier,2010.0,Chevrolet,1994.0
4,10256,,20.0,20.0,Lumina,2010.0,Chevrolet,1994.0
2,10257,,31.0,37.0,Civic,2010.0,Honda,2010.0
4,10258,,16.0,12.0,Crown Victoria,2010.0,Ford,1994.0
14,10259,,401.0,12.0,Bronco,2010.0,Ford,1994.0
14,10260,,402.0,38.0,Rodeo,2010.0,Isuzu,1994.0
4,10261,,43.0,7.0,Stratus,2010.0,Dodge,1994.0
4,10262,,32.0,37.0,Accord,2010.0,Honda,2010.0
14,10263,,402.0,20.0,Tracker,2010.0,Chevrolet,1994.0
21,10264,,461.0,20.0,G-series van,2010.0,Chevrolet,1994.0
4,10265,,21.0,21.0,Alero,2010.0,Oldsmobile,1994.0
15,10266,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
15,10267,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
4,10268,,13.0,12.0,Escort/EXP/ZX2,2010.0,Ford,1994.0
4,10270,,41.0,10.0,Vision,2010.0,Eagle,2010.0
4,10271,,12.0,13.0,LS,2010.0,Lincoln,1994.0
20,10272,,443.0,20.0,Venture,2010.0,Chevrolet,1994.0
66,10273,,881.0,51.0,Medium/Heavy – CBE,2010.0,Volvo,1994.0
4,10273,,37.0,20.0,Malibu,2010.0,Chevrolet,1994.0
6,10274,,3.0,24.0,SW,2010.0,Saturn,1994.0
14,10275,,404.0,2.0,Cherokee,2010.0,Jeep / Kaiser-Jeep / Willys- Jeep,2010.0
15,10275,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
4,10276,,39.0,35.0,Maxima,2010.0,Nissan/Datsun,1994.0
30,10277,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
30,10278,,471.0,20.0,S-10/T-10 Pickup,2010.0,Chevrolet,1994.0
15,10279,,422.0,12.0,Expedition,2010.0,Ford,1994.0
14,10280,,401.0,49.0,4-Runner,2010.0,Toyota,1994.0
4,10281,,3.0,18.0,Park Avenue,2010.0,Buick / Opel,2010.0
30,10282,,472.0,7.0,Dakota,2010.0,Dodge,1994.0
20,10283,,441.0,20.0,Astro,2010.0,Chevrolet,1994.0
30,10284,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
30,10285,,471.0,12.0,Ranger,2010.0,Ford,1994.0
2,10286,,16.0,22.0,Sunfire,2010.0,Pontiac,1994.0
4,10286,,51.0,6.0,300,2010.0,Chrysler,2010.0
2,10287,,3.0,12.0,Mustang,2010.0,Ford,1994.0
14,10288,,402.0,63.0,Sorento,2010.0,KIA,2001.0
14,10289,,401.0,12.0,Bronco,2010.0,Ford,1994.0
31,10290,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
2,10291,,20.0,21.0,Cutlass (FWD),2010.0,Oldsmobile,1994.0
15,10292,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
14,10293,,403.0,2.0,Wrangler,2010.0,Jeep / Kaiser-Jeep / Willys- Jeep,2010.0
2,10294,,3.0,12.0,Mustang,2010.0,Ford,1994.0
2,10296,,31.0,37.0,Civic,2010.0,Honda,2010.0
31,10297,,498.0,2.0,Other (light truck),2010.0,Jeep / Kaiser-Jeep / Willys- Jeep,2010.0
2,10298,,1.0,21.0,Cutlass (RWD-only),2010.0,Oldsmobile,1994.0
31,10299,,471.0,49.0,Pickup,2010.0,Toyota,1994.0
30,10300,,471.0,12.0,Ranger,2010.0,Ford,1994.0
4,10301,,15.0,12.0,Tempo,2010.0,Ford,1994.0
4,10302,,40.0,49.0,Camry,2010.0,Toyota,1994.0
4,10302,,2.0,20.0,Impala,2010.0,Chevrolet,1994.0
4,10304,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
80,10305,,709.0,98.0,Unknown cc,2010.0,Other Make,2010.0
4,10306,,32.0,37.0,Accord,2010.0,Honda,2010.0
4,10307,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
14,10308,,401.0,14.0,Mountaineer,2010.0,Mercury,1994.0
15,10310,,421.0,23.0,Yukon,2010.0,GMC,1994.0
30,10311,,471.0,20.0,S-10/T-10 Pickup,2010.0,Chevrolet,1994.0
15,10312,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
4,10313,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
30,10314,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
4,10315,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
4,10316,,13.0,20.0,Chevette,2010.0,Chevrolet,1994.0
30,10317,,471.0,23.0,Sonoma,2010.0,GMC,1994.0
4,10318,,39.0,35.0,Maxima,2010.0,Nissan/Datsun,1994.0
4,10319,,17.0,22.0,6000,2010.0,Pontiac,1994.0
2,10320,,32.0,37.0,Accord,2010.0,Honda,2010.0
4,10321,,37.0,20.0,Malibu,2010.0,Chevrolet,1994.0
14,10322,,403.0,20.0,Blazer,2010.0,Chevrolet,1994.0
15,10323,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
15,10324,,421.0,20.0,Blazer,2010.0,Chevrolet,1994.0
2,10325,,398.0,24.0,Other (automobile),2010.0,Saturn,1994.0
3,10326,,31.0,54.0,Integra,2010.0,Acura,1994.0
4,10327,,1.0,13.0,Continental,2010.0,Lincoln,1994.0
14,10328,,402.0,49.0,RAV4,2010.0,Toyota,1994.0
2,10329,,32.0,35.0,200SX/240SX,2010.0,Nissan/Datsun,1994.0
30,10330,,471.0,12.0,Ranger,2010.0,Ford,1994.0
21,10331,,461.0,7.0,Ram,2010.0,Dodge,1994.0
30,10332,,471.0,23.0,Sonoma,2010.0,GMC,1994.0
4,10333,,20.0,18.0,Regal,2010.0,Buick / Opel,2010.0
14,10334,,404.0,2.0,Cherokee,2010.0,Jeep / Kaiser-Jeep / Willys- Jeep,2010.0
14,10335,,402.0,53.0,Vitara,2010.0,Suzuki,1994.0
31,10336,,481.0,23.0,Sierra,2010.0,GMC,1994.0
14,10337,,401.0,37.0,Passport,2010.0,Honda,2010.0
4,10338,,34.0,34.0,3-series,2010.0,BMW,1994.0
2,10339,,3.0,12.0,Mustang,2010.0,Ford,1994.0
4,10340,,22.0,21.0,Aurora,2010.0,Oldsmobile,1994.0
