Make_Model,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chevrolet Trax,0,0,0,0,0,0,0,0,0,739,63030,79016,79289,89917,116817,106299,42590
Chevrolet Uplander,72980,58699,69885,40456,1758,76,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Venture,7029,196,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Volt,0,0,0,0,0,326,7671,23461,23094,18805,15393,24739,20349,18306,4911,68,0
Chrysler 200,0,0,0,0,0,255,87033,125476,122480,117363,167368,57294,18457,1043,48,9,15
Chrysler 300,144068,143647,120636,62352,38606,37116,36285,70747,57724,53382,53025,53241,51237,46593,29214,16473,16662
Chrysler Aspen,0,0,0,22254,5996,30,0,0,0,0,0,0,0,0,0,0,0
Chrysler Concorde,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysler Crossfire,14665,8216,8774,2021,499,0,0,0,0,0,0,0,0,0,0,0,0
Chrysler Pacifica,85557,78243,53947,7345,1955,0,0,0,0,0,0,62366,118274,118322,97706,84113,74970
Chrysler PT Cruiser,133740,138650,99585,50910,17941,9440,0,0,0,0,0,0,0,0,0,0,0
Chrysler Sebring,90294,69357,93130,71663,27460,38330,2380,0,0,0,0,0,0,0,0,0,0
Chrysler Town & Country,180759,159105,138151,118563,84558,112275,94320,111744,122288,138040,97530,59071,577,0,0,9690,23355
Dodge Aspen,0,7656,28788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge Avenger,0,0,83804,61963,38922,50923,64023,96890,93842,51705,1326,45,14,0,0,0,0
Dodge Caliber,0,92224,101079,84158,36098,45082,35049,10176,45,0,0,0,0,0,0,0,0
Dodge Caravan/Grand Caravan,226771,211140,176150,123749,90666,103323,110862,141468,124019,134152,101553,127678,125196,151927,122648,38765,3037
Dodge Challenger,0,0,0,17423,25852,36791,39543,43119,51462,51611,66377,64433,64537,66716,60997,52955,54315
Dodge Charger,44804,114201,119289,97367,60651,75397,70089,82592,98336,94099,96633,95437,88351,80226,96936,77426,78388
Dodge Dakota,104051,76098,50702,26044,10690,13047,12156,490,0,0,0,0,0,0,0,0,0
Dodge Dart,0,0,0,0,0,0,0,25303,83388,83858,87908,43402,10082,389,16,5,10
Dodge Durango,115439,70606,45503,21420,3521,572,51697,42589,60727,64398,64723,68474,68761,65947,67598,57828,65936
Dodge Intrepid,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge Journey,0,0,0,47097,53826,48577,55155,79563,83933,93572,108085,106759,89470,94096,74687,40341,14034
Dodge Magnum,52487,40095,30256,6912,113,0,0,0,0,0,0,0,0,0,0,0,0
Dodge Neon,113332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge Nitro,0,16990,74825,36368,17443,22618,24434,3269,0,0,0,0,0,0,0,0,0
Dodge Ram,400543,364177,358295,245840,177268,199652,244762,293363,0,0,0,0,0,0,0,0,0
Dodge Stratus,99648,51393,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge Viper,1652,1455,435,1172,482,392,197,20,591,760,690,630,585,0,0,6,6
Fiat 124 Spider,0,0,0,0,0,0,0,0,0,0,0,2475,4478,3515,2646,1711,955
Fiat 500,0,0,0,0,0,0,19769,43772,35834,33708,23980,15437,12685,5370,3267,674,51
Fiat 500L,0,0,0,0,0,0,0,0,7402,12413,7585,3118,1664,1413,772,475,188
Fiat 500X,0,0,0,0,0,0,0,0,0,0,11357,11712,7665,5223,2519,1444,1180
Ford Bronco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35023
Ford Bronco Sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,108169
Ford C-Max,0,0,0,0,0,0,0,13309,35210,27595,21768,19834,18390,0,0,0,0
Ford Crown Victoria,63939,62976,60901,48557,33255,33722,46725,4429,0,0,0,0,0,0,0,0,0
Ford EcoSport,0,0,0,0,0,0,0,0,0,0,0,0,0,54348,60599,60544,40659
Ford Edge,1302,2201,130125,110798,88548,118637,121702,127969,129109,108864,124120,134588,142603,134122,138514,108886,85225
Ford Escape,165122,157395,165596,156544,173044,191026,254293,261008,295993,306212,306492,307069,308296,272228,241387,178495,145415
Ford E-Series,0,0,0,0,0,0,0,0,125356,103263,50788,54245,53304,47936,45063,37001,37122
Ford Excursion,16283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Expedition,114137,87203,90287,55123,31655,37336,40499,38062,38350,44632,41443,59835,51883,54661,86423,77838,81988
Ford Explorer,239788,179229,137817,78439,52190,60687,135704,158344,178311,189339,224309,216294,271131,261571,187061,226215,219871
Ford Explorer Police Interceptor,0,0,0,0,0,0,0,5863,14086,20655,24942,32213,0,0,0,0,0
Ford Fiesta,0,0,0,0,0,23273,68574,56775,71073,63192,64458,48807,46249,51730,60148,3354,0
Ford Five Hundred,107932,84218,35146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Flex,0,0,0,14457,38717,34227,27428,28224,25953,23822,19570,22668,22389,20308,24485,4849,0
Ford Focus,184825,177006,173213,195823,160433,172421,175717,245922,234570,219634,202478,168789,158385,0,0,0,0
Ford Freestar,77585,50125,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Freestyle,76739,58602,23765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford F-Series,901463,796039,690589,515513,413625,528349,584917,645316,763402,753851,780354,820799,896764,909330,896526,787372,726003
Ford Fusion,16983,142502,149552,147569,180671,219219,248067,241263,295280,306860,300170,265840,209623,173600,166045,110665,11781
Ford GT,1302,1919,231,0,0,0,0,0,0,0,0,0,89,126,698,125,143
Ford Maverick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13258
Ford Mustang,160975,166530,134626,91251,66623,73716,70438,82995,77186,82635,122349,105932,81866,75842,72489,61090,52384
Ford Mustang Mach E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27140
Ford Ranger,120958,92420,72711,65872,55600,55364,70832,19366,0,0,0,0,0,0,83571,101485,94755
Ford Taurus,196919,174803,33032,52667,45617,68859,63526,66066,69063,52395,39051,34626,41236,40341,13423,0,0
Ford Taurus Police Interceptor,0,0,0,0,0,0,0,8309,10897,10234,9765,9472,0,0,0,0,0
Ford Taurus X,0,0,18345,23112,6106,12,0,0,0,0,0,0,0,0,0,0,0
Ford Thunderbird,9548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Transit,0,0,0,0,0,0,0,0,0,20448,117577,143244,127360,137794,153867,131557,99745
Ford Transit Connect,0,0,0,0,0,0,0,0,39703,43210,52221,43232,34473,31923,41597,34596,26112
Genesis G70,0,0,0,0,0,0,0,0,0,0,0,0,0,358,11903,9436,10718
Genesis G80,0,0,0,0,0,0,0,0,0,0,0,6166,16196,7446,7095,3359,6031
Genesis G90,0,0,0,0,0,0,0,0,0,0,0,782,4398,2136,2239,2072,1821
Genesis GV70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10735
Genesis GV80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,20325
GMC Acadia,0,480,72765,66440,53820,68295,79288,78280,89793,83972,96393,88466,111276,88622,99430,72538,59913
GMC Canyon,34845,23979,20888,14974,10107,7992,9590,8735,929,3070,30077,37449,32106,33493,32826,25191,24125
GMC Envoy,107862,74452,48586,23876,4857,84,0,0,0,0,0,0,0,0,0,0,0
GMC Safari,3436,56,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMC Savana,0,0,0,0,0,0,0,0,16705,26641,21992,20607,29679,19685,24227,15108,36008
GMC Sierra,229488,210736,208243,168544,111842,129794,149170,157185,184389,211833,224139,221680,217943,219554,232325,253014,248923
GMC Sonoma,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMC Terrain,0,0,0,0,14033,60519,83179,97786,99525,105016,112030,87925,85441,114311,101470,86020,47488
GMC Torrent,10303,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
GMC Yukon,73458,71476,63428,39064,29411,28781,34250,27818,28302,41569,42732,53447,49183,74678,74672,63442,84243
GMC Yukon XL,53652,45413,45303,26404,16819,23797,25223,23427,31258,29752,31334,37054,35059,0,0,0,0
Honda Accord,369293,354441,392231,372789,290056,311381,235625,331872,366678,388374,355557,345225,322655,291071,267567,199458,202676
Honda Civic,308415,316638,331095,339289,259722,260218,216532,310753,336180,325981,335384,366927,377286,325760,325650,261225,263787
Honda Civic Hybrid,0,0,0,0,0,0,4703,7156,0,0,0,0,0,0,0,0,0
Honda Clarity FCV,0,0,0,0,0,0,0,0,0,0,0,0,2455,20174,11654,3664,2597
Honda Crosstour,0,0,0,0,0,0,17974,20848,16847,11802,9104,726,5,0,0,0,0
Honda CR-V,150219,170028,219160,197279,191214,203714,218373,281652,303904,335019,345647,357335,377895,379021,384168,323502,361271
Honda CR-Z,0,0,0,0,0,5249,11330,4192,4550,3562,3073,2338,705,0,0,552,0
Honda Element,56262,51829,35218,26447,14884,14247,11534,3,2,0,0,0,0,0,0,0,0
Honda FCX,6,6,10,11,5,17,2,5,10,2,2,8,0,0,0,0,0
Honda Fit,0,27934,56432,79794,67315,54354,59235,49253,53513,59340,52724,56630,49454,35030,35414,32488,8695
Honda Fit EV,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
Honda HR-V,0,0,0,0,0,0,0,0,0,0,41969,82041,94034,85494,99104,84027,137090
Honda Insight,666,722,3,0,20572,20962,15549,5846,4802,3965,1458,67,3,12513,23686,15932,18685
Honda Odyssey,174275,177919,173046,135493,100133,108182,107068,125980,128987,122738,127736,120846,100307,106327,99113,83409,76125
Honda Passport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36285,39567,53133
Honda Pilot,143353,152154,117146,96746,83901,102323,116297,114848,126678,108857,136212,120772,127279,159615,135008,123813,143062
Honda Ridgeline,42593,50193,42795,33875,16474,16142,9759,14068,17723,13389,520,23667,34749,30592,33334,32168,41355
Honda S2000,7780,6271,4302,2538,795,85,0,0,2,0,0,0,0,0,0,0,0
Hummer H1,374,365,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hummer H2,23213,17107,12431,6095,1513,151,0,0,0,0,0,0,0,0,0,0,0
Hummer H3,33140,54052,43430,21373,7533,3661,0,0,0,0,0,0,0,0,0,0,0
Hyundai Accent,41012,34735,36055,50431,68086,51975,55601,61004,60458,63309,61486,79766,58955,29090,25628,15975,18868
Hyundai Azera,17645,26833,21948,14461,3808,3051,1524,8431,11221,7232,5539,4942,3060,0,0,0,0
Hyundai Elantra,116336,98853,85724,94720,103269,132246,186361,202034,247912,222023,241706,208319,198210,200415,175094,105475,127360
Hyundai Entourage,0,12206,17155,8470,3433,0,0,0,0,0,0,0,0,0,0,0,0
