Make_Model,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Suzuki Forenza/Reno,41394,48579,42113,20796,3769,12,1,1,0,0,0,0,0,0,0,0,0
Suzuki Grand Vitara,8624,26931,19538,11936,7557,4478,4980,4954,1037,0,0,0,0,0,0,0,0
Suzuki Kizashi,0,0,0,0,71,6138,6942,5566,1602,0,0,0,0,0,0,0,0
Suzuki SX4,0,0,0,0,0,0,12519,12860,2859,0,0,0,0,0,0,0,0
Suzuki Verona,8411,2302,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Vitara,233,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki XL7,15472,10948,23176,22551,4357,313,48,10,0,0,0,0,0,0,0,0,0
Tesla Model 3,0,0,0,0,0,0,0,0,0,0,0,0,2320,140317,161100,206500,121610
Tesla Model S,0,0,0,0,0,0,0,0,0,0,0,0,28800,29950,14425,20301,11556
Tesla Model X,0,0,0,0,0,0,0,0,0,0,0,0,24000,27250,19600,26100,7305
Tesla Model Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40001,161527
Toyota 4Runner,103829,103086,87718,47878,19675,46531,44316,48755,51625,76906,97034,111970,128296,139694,131864,129052,144696
Toyota 86 / FR-S,0,0,0,0,0,0,0,0,0,0,0,0,0,4133,3398,2476,1044
Toyota 86/Scion FR-S,0,0,0,0,0,0,0,0,0,0,10507,7457,6846,0,0,0,0
Toyota Avalon,95318,88938,72945,42790,26935,28390,28925,29556,70990,67183,60065,48080,32583,33580,27767,18421,18280
Toyota Camry,431703,448445,473108,436617,356824,327804,308510,404886,408484,428606,429355,388618,387081,343439,336978,294348,313795
Toyota Celica,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota C-HR,0,0,0,0,0,0,0,0,0,0,0,0,25755,49642,48930,42936,35707
Toyota Corolla,0,0,0,0,0,0,0,0,0,0,363332,360483,329196,303732,304850,237179,223215
Toyota Corolla Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7203
Toyota Corolla iM,0,0,0,0,0,0,0,0,0,0,5099,17727,0,0,0,0,0
Toyota Corolla/Matrix,341290,387388,371390,351007,296874,266082,240259,290947,302180,339498,0,0,0,0,0,0,0
Toyota Echo,1544,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota FJ Cruiser,0,56225,55170,28668,11941,14959,13541,13656,13131,14718,229,9,4,0,0,0,1
Toyota GR86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
Toyota Highlander,137409,129794,127878,104661,83118,92121,101252,121055,127572,146127,158917,191379,215775,244511,239437,212276,264128
Toyota Land Cruiser,4870,3376,3251,3801,2261,1807,1662,2895,3082,3158,2687,3705,3100,3235,3536,3146,3711
Toyota Mirai,0,0,0,0,0,0,0,0,0,0,72,1034,1838,1689,1502,499,2629
Toyota MR2 Spyder,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Prius,107897,106971,181221,158884,139682,140928,0,0,0,0,113829,98866,108662,87590,69718,43525,59010
Toyota Prius C,0,0,0,0,0,0,0,35733,41979,40570,38484,20452,0,0,0,0,0
Toyota Prius Liftback,0,0,0,0,0,0,128064,147507,0,0,0,0,0,0,0,0,0
Toyota Prius Plug-In,0,0,0,0,0,0,0,12750,12088,13264,0,0,0,0,0,0,0
Toyota Prius Prime,0,0,0,0,0,0,0,0,0,0,4191,2474,0,0,0,0,0
Toyota Prius Sedan,0,0,0,0,0,0,0,0,145172,122776,0,0,0,0,0,0,0
Toyota Prius V,0,0,0,0,0,0,8399,40669,34989,30762,28290,14840,0,0,0,0,0
Toyota RAV4,70518,152047,172752,137020,149088,170877,132237,171877,218249,267698,315412,352154,407594,427168,448068,430387,407739
Toyota Sequoia,45904,34315,23273,30693,16387,13848,13022,13151,13811,11806,12583,12771,12156,11121,10289,7364,8070
Toyota Sienna,161380,163269,138162,115944,84064,98337,111429,114725,121117,124502,137497,127791,111489,87672,73585,42885,14782
Toyota Supra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884,5887,6830
Toyota Tacoma,168831,178351,173238,144655,111824,106198,110705,141365,159485,155041,179562,191631,198124,245659,248801,238805,252490
Toyota Tundra,126529,124508,196555,137249,79385,93309,82908,101621,112732,118493,118880,115489,116285,118258,111673,109203,81959
Toyota Venza,0,0,0,1474,54410,47321,38904,43095,35846,29991,21351,589,14,0,0,13073,61718
Toyota Yaris,0,70308,84799,102328,63743,40076,32704,30590,21342,13274,0,0,44380,27209,21916,6436,205
Toyota Yaris Hatchback,0,0,0,0,0,0,0,0,0,0,16779,10872,0,0,0,0,0
Toyota Yaris iA,0,0,0,0,0,0,0,0,0,0,7605,27983,0,0,0,0,0
Volkswagen Arteon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,3998,5537
Volkswagen Atlas,0,0,0,0,0,0,0,0,0,0,0,0,27119,59677,81508,83201,72383
Volkswagen Atlas Sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15147,44304
Volkswagen Beetle,0,0,0,0,0,0,5626,28654,0,0,0,0,15166,14411,17215,4421,0
Volkswagen Beetle Convertible,0,0,0,0,0,0,842,520,18050,11768,9642,5837,0,0,0,0,0
Volkswagen Beetle Coupe,0,0,0,0,0,0,0,0,25084,17414,13025,9830,0,0,0,0,0
Volkswagen CC,0,0,0,2105,23872,27987,29502,21646,15672,9995,6276,3237,1355,455,58,17,0
Volkswagen e-Golf,0,0,0,0,0,0,0,0,0,357,4232,3937,0,0,0,0,0
Volkswagen Eos,0,3394,12744,12837,7204,6690,7533,6214,4178,3411,2993,387,1,0,0,0,0
Volkswagen Golf,15690,17089,16399,15338,8071,0,17839,20677,16023,15941,19257,13764,68978,42271,37393,22495,6537
Volkswagen Golf GTI,0,0,0,0,0,0,16867,16314,13310,17362,23669,23934,0,0,0,0,0
Volkswagen Golf R,0,0,0,0,0,0,0,3894,1598,15,4141,4493,0,0,0,0,0
Volkswagen Golf SportWagen/Alltrack,0,0,0,0,0,0,0,0,0,0,14009,15559,0,0,0,0,0
Volkswagen Golf/Rabbit,0,0,0,35408,15752,28286,0,0,0,0,0,0,0,0,0,0,0
Volkswagen ID.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,16745
Volkswagen Jetta,104063,103331,98951,97461,108427,123213,0,0,0,0,0,0,115807,90794,100453,90829,55113
Volkswagen Jetta Sedan,0,0,0,0,0,0,150515,146478,141259,141354,128438,121102,0,0,0,0,0
Volkswagen Jetta SportWagen,0,0,0,0,0,0,26845,23946,22534,19519,2671,5,0,0,0,0,0
Volkswagen New Beetle,36339,35110,31021,26477,14085,16537,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Passat,49233,54208,37183,30034,11138,12497,0,0,109652,96649,78207,73002,60722,41401,14123,24597,24398
Volkswagen Passat Sedan,0,0,0,0,0,0,22779,117023,0,0,0,0,0,0,0,0,0
Volkswagen Passat Wagon,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
Volkswagen Phaeton,820,235,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Rabbit ,0,11610,25445,20070,7681,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Routan,0,0,0,3387,14681,15961,12473,10483,2109,1103,0,0,0,0,0,0,0
Volkswagen Taos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31703
Volkswagen Tiguan,0,0,0,8664,13903,20946,25990,31731,30002,25121,35843,43638,46983,103022,109963,110502,109742
Volkswagen Touareg,18050,10163,8812,6755,4392,4713,7535,10553,8233,6961,7037,4223,3545,2022,160,3,0
Volvo 40 Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0
Volvo 60-Series,0,0,0,0,0,0,0,0,0,0,0,0,0,12176,20190,15729,14846
Volvo 90-Series,0,0,0,0,0,0,0,0,0,0,0,0,0,9892,4052,3195,1495
Volvo C30,0,0,2090,4299,4267,3906,3471,2827,1361,66,0,0,0,0,0,0,0
Volvo C40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Volvo C70,1442,3952,4548,5563,5170,4368,4933,4441,3234,779,7,0,0,0,0,0,0
Volvo S40,24241,24566,18141,9687,7957,5623,2984,51,0,0,0,0,0,0,0,0,0
Volvo S60,24695,25753,18511,8966,5895,1437,21282,23356,23210,20457,16706,14218,16825,0,0,0,0
Volvo S60 CC,0,0,0,0,0,0,0,0,0,0,287,571,0,0,0,0,0
Volvo S80,10181,5469,12347,11038,8331,7224,4735,3277,1935,1753,1887,644,7,0,0,0,0
Volvo S90,0,0,0,0,0,0,0,0,0,0,0,2756,11090,0,0,0,0
Volvo V50,5671,4138,2850,1856,2155,1720,0,0,0,0,0,0,0,0,0,0,0
Volvo V60,0,0,0,0,0,0,0,0, 0,4990,4362,3407,0,0,0,0,0
Volvo V60 CC,0,0,0,0,0,0,0,0,0,0,2769,2725,0,0,0,0,0
Volvo V70,7394,5604,3769,3224,1816,895,0,0,0,0,0,0,0,0,0,0,0
Volvo XC40,0,0,0,0,0,0,0,0,0,0,0,0,0,12420,17647,23778,26802
Volvo XC60,0,0,0,0,9262,12030,12932,19139,19766,19276,26134,20452,22516,32689,30578,32078,41582
Volvo XC70,13998,13136,12630,9490,5825,6626,5716,5513,4882,5093,5118,5425,0,0,0,0,0
Volvo XC90,35976,33200,31336,18980,10757,10119,10609,9513,6845,3952,12777,32526,30996,31609,35760,34251,38657
,,,,,,,,,,,,,,,,,
